,V1,V2,V3,V4,V5,V6,V7,V8
results,Fold,Number of top features,AUC_train,Accuracy_bacterial_train,Accuracy_viral_train,AUC_test,Accuracy_bacterial_test,Accuracy_viral_test
,4,25,0.8958068,0.8035714,0.8303571,0.9333333,0.95,0.8205128
,4,26,0.890067,0.8214286,0.8303571,0.9358974,0.95,0.8205128
,4,27,0.8932956,0.8571429,0.8214286,0.9371795,0.95,0.7948718
,4,28,0.8858418,0.8125,0.8392857,0.9320513,0.95,0.8205128
,4,29,0.8964844,0.8125,0.8392857,0.9320513,0.95,0.7948718
,4,30,0.901706,0.8482143,0.8214286,0.9294872,0.95,0.8205128
,4,31,0.8879145,0.8125,0.8303571,0.925641,0.95,0.7948718
,4,32,0.8901467,0.8035714,0.8392857,0.9269231,0.95,0.7948718
,4,33,0.8925382,0.8303571,0.8392857,0.9333333,0.95,0.7948718
,4,34,0.8921795,0.8125,0.8482143,0.9384615,0.95,0.8461539
,4,35,0.8949298,0.7946429,0.8392857,0.9307692,0.9,0.7948718
,4,36,0.8887914,0.8214286,0.8482143,0.925641,0.95,0.8205128
,5,1,0.7703897,0.706422,0.7155963,0.7229814,0.6956522,0.6285715
,5,2,0.838692,0.8073394,0.7798165,0.7813665,0.6521739,0.6857143
,5,3,0.8685296,0.7889909,0.7614679,0.804969,0.7826087,0.6857143
,5,4,0.8786297,0.8348624,0.7889909,0.7838509,0.6521739,0.6857143
,5,5,0.8831748,0.8256881,0.7889909,0.8285714,0.6956522,0.7142857
,5,6,0.8821648,0.8348624,0.8073394,0.8248447,0.6956522,0.7142857
,5,7,0.8902449,0.8348624,0.7798165,0.8434783,0.8260869,0.7142857
,5,8,0.89479,0.8440367,0.8073394,0.8397515,0.7826087,0.7142857
,5,9,0.9002609,0.8348624,0.8073394,0.8434783,0.7826087,0.7142857
,5,10,0.9015656,0.8623853,0.8256881,0.8447205,0.8260869,0.7142857
,5,11,0.9016918,0.8623853,0.8348624,0.8360248,0.7826087,0.7428572
,5,12,0.9028701,0.8348624,0.853211,0.8186336,0.7826087,0.7142857
,5,13,0.9027439,0.8440367,0.8440367,0.8322982,0.7826087,0.7428572
,5,14,0.8957579,0.8440367,0.8440367,0.8223603,0.7826087,0.7142857
,5,15,0.8954633,0.8348624,0.8440367,0.8347826,0.7826087,0.7428572
,5,16,0.8974833,0.8256881,0.853211,0.8149068,0.7826087,0.7714286
,5,17,0.8977359,0.853211,0.8348624,0.8186336,0.7826087,0.7428572
,5,18,0.9072469,0.8165138,0.853211,0.8248447,0.7826087,0.7714286
,5,19,0.9035435,0.8348624,0.8256881,0.8360248,0.7826087,0.7142857
,5,20,0.9008922,0.8073394,0.8623853,0.8298137,0.7826087,0.7428572
,5,21,0.8979884,0.8348624,0.853211,0.8198758,0.7826087,0.7714286
,5,22,0.8958,0.8348624,0.8440367,0.8298137,0.7826087,0.7142857
,5,23,0.9043851,0.8440367,0.8256881,0.8099379,0.8260869,0.7428572
,5,24,0.8999243,0.8165138,0.8440367,0.8260869,0.7826087,0.7714286
,5,25,0.8920966,0.8256881,0.8348624,0.8136646,0.7826087,0.7142857
,5,26,0.9076677,0.8165138,0.853211,0.8310559,0.7826087,0.7714286
,5,27,0.8930225,0.8256881,0.8623853,0.8173913,0.7826087,0.7428572
,5,28,0.9004292,0.8165138,0.853211,0.8173913,0.7826087,0.7428572
,5,29,0.8997559,0.8256881,0.8623853,0.8136646,0.7826087,0.7428572
,5,30,0.9033331,0.8348624,0.8440367,0.8198758,0.7826087,0.7428572
,5,31,0.9085515,0.8165138,0.8623853,0.8385093,0.7826087,0.7428572
,5,32,0.9071627,0.8165138,0.853211,0.8310559,0.7826087,0.7142857
,5,33,0.9051427,0.8165138,0.853211,0.8298137,0.7826087,0.7714286
,5,34,0.9061527,0.8348624,0.8440367,0.8347826,0.7826087,0.7714286
,5,35,0.9019443,0.8165138,0.8440367,0.8360248,0.7391304,0.8
,5,36,0.9043851,0.8348624,0.853211,0.8186336,0.7826087,0.7714286
